Es/eV,AM1.5/W m^-2 eV^-1,AM15flux/m^-2eV^-1s^-1,flux_cumm(AM 1.5 or bb @ 5800 K),Flux_above_E, Jsc/mA*cm^-2
4.290,4.70E-08,6.8375E+10,-4.1188E+08,4.1188E+08,0.00
4.280,2.58E-07,3.7639E+11,-2.6357E+09,2.6357E+09,0.00
4.270,8.31E-07,1.2140E+12,-1.0588E+10,1.0588E+10,0.00
4.260,3.21E-06,4.6999E+12,-4.0157E+10,4.0157E+10,0.00
4.250,1.33E-05,1.9527E+13,-1.6129E+11,1.6129E+11,0.00
4.240,2.84E-05,4.1845E+13,-4.6815E+11,4.6815E+11,0.00
4.230,8.82E-05,1.3009E+14,-1.3278E+12,1.3278E+12,0.00
4.220,2.48E-04,3.6708E+14,-3.8137E+12,3.8137E+12,0.00
4.210,4.91E-04,7.2766E+14,-9.2874E+12,9.2874E+12,0.00
4.200,1.39E-03,2.0596E+15,-2.3224E+13,2.3224E+13,0.00
4.190,3.22E-03,4.8011E+15,-5.7527E+13,5.7527E+13,0.00
4.180,5.61E-03,8.3798E+15,-1.2343E+14,1.2343E+14,0.00
4.170,1.15E-02,1.7250E+16,-2.5158E+14,2.5158E+14,0.00
4.160,2.15E-02,3.2306E+16,-4.9936E+14,4.9936E+14,0.00
4.150,3.15E-02,4.7371E+16,-8.9775E+14,8.9775E+14,0.00
4.140,6.27E-02,9.4506E+16,-1.6071E+15,1.6071E+15,0.00
4.130,8.21E-02,1.2414E+17,-2.7004E+15,2.7004E+15,0.00
4.120,1.38E-01,2.0928E+17,-4.3675E+15,4.3675E+15,0.00
4.110,2.05E-01,3.1058E+17,-6.9668E+15,6.9668E+15,0.00
4.100,3.04E-01,4.6267E+17,-1.0833E+16,1.0833E+16,0.00
4.090,5.76E-01,8.7925E+17,-1.7543E+16,1.7543E+16,0.00
4.080,7.00E-01,1.0709E+18,-2.7293E+16,2.7293E+16,0.00
4.070,1.01E+00,1.5476E+18,-4.0386E+16,4.0386E+16,0.00
4.060,1.38E+00,2.1234E+18,-5.8741E+16,5.8741E+16,0.00
4.050,1.47E+00,2.2675E+18,-8.0695E+16,8.0695E+16,0.00
4.040,2.05E+00,3.1608E+18,-1.0784E+17,1.0784E+17,0.00
4.030,2.79E+00,4.3160E+18,-1.4522E+17,1.4522E+17,0.00
4.020,3.16E+00,4.9016E+18,-1.9131E+17,1.9131E+17,0.00
4.010,3.22E+00,5.0186E+18,-2.4091E+17,2.4091E+17,0.00
4.000,3.95E+00,6.1625E+18,-2.9682E+17,2.9682E+17,0.00
3.990,5.86E+00,9.1647E+18,-3.7345E+17,3.7345E+17,0.01
3.980,6.67E+00,1.0458E+19,-4.7157E+17,4.7157E+17,0.01
3.970,7.65E+00,1.2031E+19,-5.8401E+17,5.8401E+17,0.01
3.960,8.50E+00,1.3390E+19,-7.1112E+17,7.1112E+17,0.01
3.950,9.37E+00,1.4806E+19,-8.5210E+17,8.5210E+17,0.01
3.940,1.06E+01,1.6849E+19,-1.0104E+18,1.0104E+18,0.01
3.930,9.53E+00,1.5129E+19,-1.1703E+18,1.1703E+18,0.02
3.920,1.14E+01,1.8132E+19,-1.3366E+18,1.3366E+18,0.02
3.910,1.42E+01,2.2607E+19,-1.5403E+18,1.5403E+18,0.02
3.900,1.44E+01,2.3051E+19,-1.7686E+18,1.7686E+18,0.03
3.890,1.61E+01,2.5772E+19,-2.0127E+18,2.0127E+18,0.03
3.880,1.63E+01,2.6185E+19,-2.2725E+18,2.2725E+18,0.03
3.870,1.97E+01,3.1840E+19,-2.5626E+18,2.5626E+18,0.04
3.860,2.04E+01,3.2912E+19,-2.8863E+18,2.8863E+18,0.04
3.850,1.85E+01,3.0019E+19,-3.2010E+18,3.2010E+18,0.05
3.840,1.79E+01,2.9134E+19,-3.4968E+18,3.4968E+18,0.05
3.830,2.22E+01,3.6182E+19,-3.8233E+18,3.8233E+18,0.06
3.820,2.40E+01,3.9210E+19,-4.2003E+18,4.2003E+18,0.06
3.810,2.74E+01,4.4894E+19,-4.6208E+18,4.6208E+18,0.07
3.800,3.42E+01,5.6111E+19,-5.1258E+18,5.1258E+18,0.07
3.790,3.40E+01,5.5937E+19,-5.6861E+18,5.6861E+18,0.08
3.780,3.06E+01,5.0590E+19,-6.2187E+18,6.2187E+18,0.09
3.770,3.61E+01,5.9751E+19,-6.7704E+18,6.7704E+18,0.10
3.760,4.13E+01,6.8499E+19,-7.4117E+18,7.4117E+18,0.11
3.750,3.70E+01,6.1594E+19,-8.0621E+18,8.0621E+18,0.12
3.740,3.72E+01,6.2149E+19,-8.6808E+18,8.6808E+18,0.13
3.730,3.91E+01,6.5473E+19,-9.3190E+18,9.3190E+18,0.13
3.720,3.72E+01,6.2360E+19,-9.9581E+18,9.9581E+18,0.14
3.710,3.87E+01,6.5041E+19,-1.0595E+19,1.0595E+19,0.15
3.700,4.18E+01,7.0461E+19,-1.1273E+19,1.1273E+19,0.16
3.690,3.76E+01,6.3538E+19,-1.1943E+19,1.1943E+19,0.17
3.680,3.43E+01,5.8186E+19,-1.2551E+19,1.2551E+19,0.18
3.670,3.92E+01,6.6682E+19,-1.3176E+19,1.3176E+19,0.19
3.660,4.26E+01,7.2678E+19,-1.3872E+19,1.3872E+19,0.20
3.650,4.53E+01,7.7518E+19,-1.4623E+19,1.4623E+19,0.21
3.640,4.60E+01,7.8879E+19,-1.5405E+19,1.5405E+19,0.22
3.630,4.46E+01,7.6609E+19,-1.6183E+19,1.6183E+19,0.23
3.620,4.81E+01,8.2958E+19,-1.6981E+19,1.6981E+19,0.24
3.610,4.63E+01,8.0090E+19,-1.7796E+19,1.7796E+19,0.26
3.600,3.87E+01,6.7172E+19,-1.8532E+19,1.8532E+19,0.27
3.590,4.65E+01,8.0911E+19,-1.9273E+19,1.9273E+19,0.28
3.580,4.69E+01,8.1719E+19,-2.0086E+19,2.0086E+19,0.29
3.570,4.69E+01,8.2072E+19,-2.0905E+19,2.0905E+19,0.30
3.560,4.70E+01,8.2425E+19,-2.1727E+19,2.1727E+19,0.31
