Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
4.00E-06,4000.0,0.310,7.1043E-03,9.1705E+01
4.00E-06,3995.0,0.310,7.2100E-03,9.2837E+01
3.99E-06,3990.0,0.311,7.3723E-03,9.4690E+01
3.99E-06,3985.0,0.311,7.4327E-03,9.5226E+01
3.98E-06,3980.0,0.312,7.3872E-03,9.4406E+01
3.98E-06,3975.0,0.312,7.5097E-03,9.5730E+01
3.97E-06,3970.0,0.312,7.6806E-03,9.7663E+01
3.97E-06,3965.0,0.313,7.8057E-03,9.9004E+01
3.96E-06,3960.0,0.313,7.7482E-03,9.8027E+01
3.96E-06,3955.0,0.314,7.7199E-03,9.7422E+01
3.95E-06,3950.0,0.314,7.6277E-03,9.6015E+01
3.95E-06,3945.0,0.314,7.5412E-03,9.4686E+01
3.94E-06,3940.0,0.315,7.4027E-03,9.2712E+01
3.94E-06,3935.0,0.315,7.3541E-03,9.1870E+01
3.93E-06,3930.0,0.316,7.0502E-03,8.7850E+01
3.93E-06,3925.0,0.316,6.8520E-03,8.5163E+01
3.92E-06,3920.0,0.316,6.9466E-03,8.6119E+01
3.92E-06,3915.0,0.317,6.9868E-03,8.6396E+01
3.91E-06,3910.0,0.317,7.1353E-03,8.8007E+01
3.91E-06,3905.0,0.318,7.9269E-03,9.7521E+01
3.90E-06,3900.0,0.318,7.9254E-03,9.7253E+01
3.90E-06,3895.0,0.318,7.4760E-03,9.1503E+01
3.89E-06,3890.0,0.319,6.8818E-03,8.4015E+01
3.89E-06,3885.0,0.319,6.7717E-03,8.2458E+01
3.88E-06,3880.0,0.320,6.5340E-03,7.9359E+01
3.88E-06,3875.0,0.320,6.7620E-03,8.1917E+01
3.87E-06,3870.0,0.320,7.3604E-03,8.8936E+01
3.87E-06,3865.0,0.321,8.0989E-03,9.7606E+01
3.86E-06,3860.0,0.321,7.9940E-03,9.6093E+01
3.86E-06,3855.0,0.322,8.5085E-03,1.0201E+02
3.85E-06,3850.0,0.322,8.8274E-03,1.0556E+02
3.85E-06,3845.0,0.322,8.7801E-03,1.0472E+02
3.84E-06,3840.0,0.323,8.9756E-03,1.0678E+02
3.84E-06,3835.0,0.323,7.6916E-03,9.1264E+01
3.83E-06,3830.0,0.324,9.5925E-03,1.1352E+02
3.83E-06,3825.0,0.324,9.5056E-03,1.1220E+02
3.82E-06,3820.0,0.325,9.6550E-03,1.1367E+02
3.82E-06,3815.0,0.325,7.7569E-03,9.1082E+01
3.81E-06,3810.0,0.325,8.2451E-03,9.6560E+01
3.81E-06,3805.0,0.326,9.3049E-03,1.0869E+02
3.80E-06,3800.0,0.326,9.8592E-03,1.1486E+02
3.80E-06,3795.0,0.327,8.8692E-03,1.0305E+02
3.79E-06,3790.0,0.327,7.7564E-03,8.9886E+01
3.79E-06,3785.0,0.328,8.8123E-03,1.0185E+02
3.78E-06,3780.0,0.328,9.5746E-03,1.1037E+02
3.78E-06,3775.0,0.328,9.0521E-03,1.0407E+02
3.77E-06,3770.0,0.329,9.1243E-03,1.0463E+02
3.77E-06,3765.0,0.329,8.5502E-03,9.7782E+01
3.76E-06,3760.0,0.330,8.8633E-03,1.0109E+02
3.76E-06,3755.0,0.330,8.9918E-03,1.0229E+02
3.75E-06,3750.0,0.331,9.2903E-03,1.0540E+02
3.75E-06,3745.0,0.331,1.0331E-02,1.1690E+02
3.74E-06,3740.0,0.332,8.8494E-03,9.9864E+01
3.74E-06,3735.0,0.332,8.5837E-03,9.6607E+01
3.73E-06,3730.0,0.332,9.2707E-03,1.0406E+02
3.73E-06,3725.0,0.333,1.0698E-02,1.1976E+02
3.72E-06,3720.0,0.333,1.0376E-02,1.1584E+02
3.72E-06,3715.0,0.334,9.2254E-03,1.0272E+02
3.71E-06,3710.0,0.334,9.3640E-03,1.0398E+02
3.71E-06,3705.0,0.335,1.0770E-02,1.1927E+02
3.70E-06,3700.0,0.335,1.0878E-02,1.2015E+02
3.70E-06,3695.0,0.336,1.0132E-02,1.1160E+02
3.69E-06,3690.0,0.336,9.6922E-03,1.0647E+02
3.69E-06,3685.0,0.336,9.4380E-03,1.0340E+02
3.68E-06,3680.0,0.337,8.3312E-03,9.1024E+01
3.68E-06,3675.0,0.337,4.8286E-03,5.2613E+01
3.67E-06,3670.0,0.338,7.9003E-03,8.5848E+01
3.67E-06,3665.0,0.338,1.0253E-02,1.1111E+02
3.66E-06,3660.0,0.339,1.0914E-02,1.1795E+02
3.66E-06,3655.0,0.339,1.0978E-02,1.1832E+02
3.65E-06,3650.0,0.340,1.0123E-02,1.0880E+02
3.65E-06,3645.0,0.340,1.0599E-02,1.1361E+02
3.64E-06,3640.0,0.341,1.1480E-02,1.2272E+02
3.64E-06,3635.0,0.341,1.0299E-02,1.0979E+02
3.63E-06,3630.0,0.342,9.9550E-03,1.0583E+02
3.63E-06,3625.0,0.342,1.0239E-02,1.0855E+02
3.62E-06,3620.0,0.343,1.1614E-02,1.2279E+02
3.62E-06,3615.0,0.343,9.4726E-03,9.9871E+01
3.61E-06,3610.0,0.343,9.4787E-03,9.9659E+01
3.61E-06,3605.0,0.344,1.0359E-02,1.0861E+02
3.60E-06,3600.0,0.344,1.0262E-02,1.0730E+02
3.60E-06,3595.0,0.345,9.6700E-03,1.0083E+02
3.59E-06,3590.0,0.345,9.4523E-03,9.8283E+01
3.59E-06,3585.0,0.346,9.1671E-03,9.5053E+01
3.58E-06,3580.0,0.346,1.0187E-02,1.0533E+02
3.58E-06,3575.0,0.347,8.6444E-03,8.9133E+01
3.57E-06,3570.0,0.347,8.3376E-03,8.5730E+01
3.57E-06,3565.0,0.348,1.0851E-02,1.1126E+02
3.56E-06,3560.0,0.348,1.0795E-02,1.1038E+02
3.56E-06,3555.0,0.349,9.0581E-03,9.2357E+01
3.55E-06,3550.0,0.349,1.0538E-02,1.0714E+02
3.55E-06,3545.0,0.350,9.5432E-03,9.6756E+01
3.54E-06,3540.0,0.350,9.0310E-03,9.1305E+01
3.54E-06,3535.0,0.351,9.4556E-03,9.5328E+01
3.53E-06,3530.0,0.351,1.1127E-02,1.1186E+02
3.53E-06,3525.0,0.352,1.1428E-02,1.1456E+02
3.52E-06,3520.0,0.352,1.2122E-02,1.2117E+02
3.52E-06,3515.0,0.353,1.1494E-02,1.1457E+02
3.51E-06,3510.0,0.353,1.1963E-02,1.1891E+02
3.51E-06,3505.0,0.354,1.1809E-02,1.1704E+02
3.50E-06,3500.0,0.354,1.1917E-02,1.1778E+02
3.50E-06,3495.0,0.355,1.2265E-02,1.2087E+02
3.49E-06,3490.0,0.355,1.0419E-02,1.0238E+02
3.49E-06,3485.0,0.356,1.2094E-02,1.1850E+02
3.48E-06,3480.0,0.356,1.1224E-02,1.0966E+02
3.48E-06,3475.0,0.357,1.0943E-02,1.0661E+02
3.47E-06,3470.0,0.357,1.2264E-02,1.1914E+02
3.47E-06,3465.0,0.358,9.8179E-03,9.5100E+01
3.46E-06,3460.0,0.358,1.2530E-02,1.2102E+02
3.46E-06,3455.0,0.359,8.3089E-03,8.0019E+01
3.45E-06,3450.0,0.359,1.1153E-02,1.0710E+02
3.45E-06,3445.0,0.360,1.1318E-02,1.0837E+02
3.44E-06,3440.0,0.360,8.0348E-03,7.6709E+01
3.44E-06,3435.0,0.361,1.1553E-02,1.0998E+02
3.43E-06,3430.0,0.362,8.6892E-03,8.2475E+01
3.43E-06,3425.0,0.362,1.0006E-02,9.4697E+01
3.42E-06,3420.0,0.363,1.3165E-02,1.2423E+02
3.42E-06,3415.0,0.363,7.2774E-03,6.8472E+01
3.41E-06,3410.0,0.364,7.0802E-03,6.6421E+01
3.41E-06,3405.0,0.364,4.4594E-03,4.1712E+01
3.40E-06,3400.0,0.365,1.2509E-02,1.1666E+02
3.40E-06,3395.0,0.365,9.5465E-03,8.8772E+01
